region,num_household_member,labor_income,business_income,property_income,other_income,income_tax_deduction,living_asset,basic_property_amt,debt,general_property,general_property_deduction,fin_property,fin_property_deduction,car,rec_amt_income,target_mul,target_yn
3,1,270000,0,0,323180,221000,0,77000000,0,109000000,0,48975000,0,0,4459415,0,0
2,2,8781570,3725000,291667,637080,120000,1961750,80000000,15271000,795760370,0,108000,0,0,517080,2,1
3,1,0,0,0,0,0,1710000,77000000,0,0,0,0,0,0,0,1,1
3,1,3027499,0,0,0,0,4750000,77000000,0,0,0,315000,0,0,0,1,1
1,1,0,0,0,323180,0,1900000,99000000,0,0,0,3409000,0,0,323180,1,1
3,2,8519168,0,0,0,846300,4227500,77000000,0,160589778,0,2358000,0,0,1974700,0,0
3,1,1325000,0,0,0,397500,0,77000000,0,0,0,2193000,480000,0,927500,0,0
3,1,183333,0,0,0,55000,0,77000000,0,555000000,0,0,0,0,128333,1,1
3,1,0,0,0,323180,0,343000,77000000,0,0,0,5150710,0,0,323180,1,1
3,1,0,0,0,0,0,950000,77000000,0,0,0,1064150,0,0,0,1,1
2,1,0,0,0,412860,393180,0,80000000,0,0,0,2675000,950000,0,19680,1,1
1,1,7910580,3991667,0,0,0,4750000,99000000,5000000,0,0,86743000,0,0,0,1,1
3,1,0,2360000,0,0,0,4750000,77000000,0,852875813,0,1103930,0,0,0,1,1
1,1,1691666,7683333,1166666,399932,0,0,99000000,0,1271003018,0,7731000,0,0,399932,1,1
3,1,0,0,0,0,0,0,77000000,0,0,0,0,0,0,0,1,1
1,1,0,0,0,383180,60000,65350500,99000000,0,0,0,21279000,0,0,323180,1,1
2,1,0,0,0,342860,0,0,80000000,0,86000000,60705804,0,0,0,342860,1,1
1,2,0,0,0,200000,200000,5082500,99000000,1100000,24650000,3456156,42353000,7313056,0,0,2,1
3,1,70000,0,0,0,21000,1235000,77000000,0,1223552,0,1235000,160000,0,49000,1,1
2,1,950000,0,0,0,285000,0,80000000,0,0,0,0,0,0,665000,1,1
3,1,2200000,0,0,0,660000,1900000,77000000,2736000,0,0,80220489,32450468,0,1540000,0,0
3,2,2977438,0,0,302683,1093231,0,77000000,5866000,142500000,0,2040820,0,0,4673628,0,0
1,1,0,0,0,542130,0,0,99000000,0,0,0,3889000,0,0,542130,1,1
1,1,0,0,0,323180,0,2850000,99000000,600000,41408896,16238574,31001000,23163818,108900,432080,1,1
3,1,0,0,0,323180,0,2375000,77000000,0,0,0,0,0,0,323180,1,1
3,2,808333,541667,0,22200,0,0,77000000,0,96300000,0,6673000,0,0,22200,2,1
3,1,0,0,0,60000,60000,0,77000000,0,0,0,1089000,0,0,0,1,1
3,1,0,0,0,323180,0,0,77000000,0,67207943,9283974,2170000,0,0,323180,1,1
3,1,42893201,0,0,323180,219650,0,77000000,0,602067289,0,8478000,0,0,369030,1,1
1,3,0,225000,0,0,67500,11514000,99000000,0,0,0,5494667,180000,0,157500,3,1
3,2,0,0,0,200000,200000,2232500,77000000,0,0,0,223000,0,0,0,2,1
3,1,0,0,0,479932,403180,35905000,77000000,0,25568838,0,610000,0,0,76752,1,1
3,2,1006483,141667,0,517080,0,0,77000000,0,0,0,15750000,180000,0,517080,2,1
2,1,621166,0,0,421580,231350,0,80000000,0,0,0,6027000,0,0,494730,1,1
3,1,0,0,44331,0,0,17100000,77000000,0,0,0,47510000,4320000,0,44331,1,1
3,2,0,0,0,726360,403180,0,77000000,0,0,0,121000,0,0,323180,2,1
1,1,7667909,275000,0,0,0,0,99000000,600000,175302066,0,11203000,0,0,0,1,1
2,3,122132,0,0,60000,182132,18441400,80000000,0,0,0,12390000,8620000,0,0,3,1
3,1,0,0,0,403180,403180,0,77000000,0,0,0,734000,0,0,0,1,1
3,1,0,0,0,831710,403180,0,77000000,0,0,0,160000,0,0,428530,1,1
3,1,0,0,0,30000,30000,0,77000000,0,0,0,7360000,0,0,0,1,1
2,1,2500000,0,0,0,0,0,80000000,0,39200000,0,848000,0,0,0,1,1
2,1,0,0,0,403180,403180,11400000,80000000,0,22500000,14212544,22868000,0,0,0,1,1
3,1,0,0,0,421580,0,0,77000000,0,0,0,39851000,31013972,0,421580,1,1
3,2,0,0,0,60000,60000,45800000,77000000,2080000,3240000,3240000,14681000,0,0,0,2,1
1,1,3452789,0,0,0,0,4750000,99000000,0,4750000,0,0,0,0,0,1,1
2,1,0,0,0,0,0,0,80000000,5000000,0,0,4228080,2490000,0,0,1,1
3,1,0,0,0,450436,40000,90600000,77000000,60260000,0,0,6762000,0,0,410436,1,1
3,1,33333,0,0,484510,33333,2375000,77000000,0,0,0,3020000,0,0,484510,1,1
3,2,0,0,0,403180,403180,0,77000000,0,0,0,13726000,6800000,0,0,2,1
1,3,3391053,0,0,677080,2172154,7495500,99000000,0,0,0,79819000,15000000,0,1895979,0,0
2,3,600000,0,0,0,460000,6175000,80000000,0,0,0,20264000,0,0,140000,3,1
3,2,1600000,0,0,10988,0,0,77000000,15973000,0,0,19827000,0,0,10988,2,1
3,3,2240227,0,0,40000,852068,1900000,77000000,66933000,0,0,13017000,0,0,1428159,3,1
2,1,0,0,0,548960,323180,0,80000000,0,0,0,10073000,0,0,225780,1,1
2,1,0,0,0,17829,0,0,80000000,0,0,0,0,0,0,17829,1,1
2,1,0,0,0,60000,60000,0,80000000,0,0,0,310000,0,0,0,1,1
1,1,2085547,0,0,948772,403180,0,99000000,0,416523562,0,29031000,0,0,545592,1,1
2,1,0,0,0,323180,0,45378650,80000000,27000000,0,0,1850000,300000,0,323180,1,1
3,4,253326,0,0,0,253326,2820550,77000000,8000000,6404687,0,2644000,2500000,0,0,4,1
3,2,8870148,2775000,0,557080,40000,3610000,77000000,0,166490077,0,6674000,2640000,0,517080,2,1
3,2,7992261,0,0,640000,640000,2033000,77000000,0,13977101,0,1825000,0,0,0,2,1
2,1,726000,0,0,76752,0,0,80000000,0,0,0,0,0,0,76752,1,1
3,1,10456677,0,0,0,308333,0,77000000,0,113500000,0,134000,0,0,0,1,1
