T_32,T_37,T_43,T_47,T_50,T_53,T_55,T_56,T_57,T_63,T_67,T_80,T_82,T_83,T_99,T_106,T_110,T_SC,T_32_NM,T_37_NM,T_43_NM,T_47_NM,T_50_NM,T_53_NM,T_55_NM,T_56_NM,T_57_NM,T_63_NM,T_67_NM,T_80_NM,T_82_NM,T_83_NM,T_99_NM,T_106_NM,T_110_NM,T_SC_NM
17,0,0,1,3,4,0,5062,5166,5.71,20,0,7,5114.00 ,8.33 ,0,1,62.02,0.069767442,0,0,0.142857143,0.066666667,0.095238095,0,0.03428703,0.039830071,0.417989418,0.010357328,0,0.044585987,0.03687932,0.002311604,0,1,0.374479549
6,0,0,3,2,0,0,1277,836,5.71,7,0,2,1056.50 ,4.67 ,0,1,65.66,0.018604651,0,0,0.428571429,0.044444444,0,0,0.008649652,0.006445594,0.417989418,0.003625065,0,0.012738854,0.00761889,0.001294498,0,1,0.463629684
13,0,0,0,1,1,0,3006,2849,2.46,0,0,2,2927.50 ,0.00 ,0,0,64.5,0.051162791,0,0,0,0.022222222,0.023809524,0,0.020360888,0.021965906,0.203042328,0,0,0.012738854,0.0211115,0,0,0,0.435219202
16,0,1,3,0,0,0,8650,8262,5.71,0,1,0,8456.00 ,71.67 ,1,1,66.35,0.065116279,0,0.142857143,0.428571429,0,0,0,0.058590046,0.063700357,0.417989418,0,0.5,0,0.060979963,0.019879797,1,1,0.480529023
6,0,0,2,0,0,0,6095,5525,2.46,0,0,0,5810.00 ,0.00 ,0,0,54.82,0.018604651,0,0,0.285714286,0,0,0,0.041283969,0.042597975,0.203042328,0,0,0,0.041898485,0,0,0,0.198138624
73,0,3,2,6,15,0,9674,11529,2.75,41,0,21,10601.50 ,55.33 ,1,1,82.24,0.330232558,0,0.428571429,0.285714286,0.133333333,0.357142857,0,0.065526023,0.08888906,0.222222222,0.021232522,0,0.133757962,0.076452114,0.015349052,1,1,0.869703649
11,0,4,0,1,0,0,5014,5013,2.46,0,1,1,5013.50 ,0.00 ,0,0,68.6,0.041860465,0,0.571428571,0,0.022222222,0,0,0.033961906,0.038650434,0.203042328,0,0.5,0.006369427,0.03615457,0,0,0,0.535635562
10,0,1,0,0,0,0,2375,2294,5.71,0,0,0,2334.50 ,0.00 ,0,0,56.67,0.037209302,0,0.142857143,0,0,0,0,0.016086862,0.017686834,0.417989418,0,0,0,0.016835114,0,0,0,0.243448445
9,0,0,5,0,0,0,1831,1203,5.71,20,0,0,1517.00 ,11.33 ,0,1,59.88,0.03255814,0,0,0.714285714,0,0,0,0.012402124,0.009275179,0.417989418,0.010357328,0,0,0.010939759,0.003143782,0,1,0.322067108
16,0,0,1,0,0,0,5651,4878,2.21,7,0,0,5264.50 ,11.33 ,0,1,65.36,0.065116279,0,0,0.142857143,0,0,0,0.038276572,0.037609579,0.186507937,0.003625065,0,0,0.037964642,0.003143782,0,1,0.456282145
139,0,2,3,45,42,0,69077,76768,5.71,0,1,97,72922.50 ,363.00 ,1,1,77.63,0.637209302,0,0.285714286,0.428571429,1,1,0,0.467887236,0.591884411,0.417989418,0,0.5,0.617834395,0.525876461,0.100693481,1,1,0.756796473
53,1,1,1,1,2,0,7657,5528,5.71,0,1,3,6592.50 ,26.67 ,0,1,71.29,0.237209302,1,0.142857143,0.142857143,0.022222222,0.047619048,0,0.051864044,0.042621105,0.417989418,0,0.5,0.01910828,0.047541439,0.007397134,0,1,0.601518491
10,1,0,2,0,1,0,14492,14025,2.46,0,1,1,14258.50 ,0.00 ,0,0,63.51,0.037209302,1,0,0.285714286,0,0.023809524,0,0.09816034,0.108133322,0.203042328,0,0.5,0.006369427,0.102824362,0,0,0,0.410972324
14,0,3,4,0,2,0,3439,3587,5.71,33,1,2,3513.00 ,38.67 ,0,1,60.58,0.055813953,0,0.428571429,0.571428571,0,0.047619048,0,0.023293777,0.027655916,0.417989418,0.017089591,0.5,0.012738854,0.0253338,0.010725844,0,1,0.339211364
5,0,4,4,0,2,0,206,1126,2.21,4,0,6,666.00 ,5.67 ,0,1,67.08,0.013953488,0,0.571428571,0.571428571,0,0.047619048,0,0.001395324,0.008681506,0.186507937,0.002071466,0,0.038216561,0.004802821,0.001571891,0,1,0.498408033
20,0,0,0,0,0,0,19731,21787,2.46,0,0,0,20759.00 ,0.00 ,0,0,57.85,0.08372093,0,0,0,0,0,0,0.133646265,0.167978659,0.203042328,0,0,0,0.149702348,0,0,0,0.272348763
6,0,0,0,0,0,0,3167,2620,2.46,0,0,0,2893.50 ,0.00 ,0,0,56.05,0.018604651,0,0,0,0,0,0,0.021451408,0.020200307,0.203042328,0,0,0,0.020866311,0,0,0,0.228263532
8,0,0,1,0,0,0,10097,5592,2.21,0,0,0,7844.50 ,0.00 ,0,0,56.11,0.027906977,0,0,0.142857143,0,0,0,0.068391178,0.043114548,0.186507937,0,0,0,0.056570166,0,0,0,0.229733039
11,0,3,1,2,1,0,2185,2233,2.21,0,0,3,2209.00 ,20.00 ,0,1,63.17,0.041860465,0,0.428571429,0.142857143,0.044444444,0.023809524,0,0.014799913,0.017216521,0.186507937,0,0,0.01910828,0.015930078,0.00554785,0,1,0.402645114
10,0,3,3,6,0,0,7644,7647,5.43,0,1,6,7645.50 ,90.33 ,1,1,73.55,0.037209302,0,0.428571429,0.428571429,0.133333333,0,0,0.05177599,0.058958682,0.399470899,0,0.5,0.038216561,0.055135088,0.02505779,1,1,0.656869949
4,0,0,0,0,0,0,4643,4501,2.46,0,0,0,4572.00 ,0.00 ,0,0,62.9,0.009302326,0,0,0,0,0,0,0.031448969,0.034702894,0.203042328,0,0,0,0.032970718,0,0,0,0.396032329
4,0,0,1,0,0,0,5088,4422,5.43,0,0,0,4755.00 ,1.33 ,0,1,53.81,0.009302326,0,0,0.142857143,0,0,0,0.034463139,0.0340938,0.399470899,0,0,0,0.034290412,0.000369857,0,1,0.17340191
9,0,0,2,0,1,0,1096,1715,2.21,0,0,1,1405.50 ,0.00 ,0,0,60.11,0.03255814,0,0,0.285714286,0,0.023809524,0,0.007423664,0.01322272,0.186507937,0,0,0.006369427,0.010135683,0,0,0,0.32770022
25,0,0,4,1,1,0,1673,794,5.43,0,1,2,1233.50 ,0.00 ,0,0,60.6,0.106976744,0,0,0.571428571,0.022222222,0.023809524,0,0.011331924,0.006121772,0.399470899,0,0.5,0.012738854,0.008895315,0,0,0,0.3397012
22,0,4,1,0,0,0,4928,5285,2.21,130,0,0,5106.50 ,167.00 ,0,1,68.2,0.093023256,0,0.571428571,0.142857143,0,0,0,0.033379393,0.040747566,0.186507937,0.067322631,0,0,0.036825234,0.046324549,0,1,0.525838844
14,0,0,0,0,0,0,6555,5642,5.43,0,0,0,6098.50 ,0.00 ,0,0,54.66,0.055813953,0,0,0,0,0,0,0.04439974,0.04350005,0.399470899,0,0,0,0.043978986,0,0,0,0.194219936
10,0,0,5,0,2,0,2007,1490,5.43,0,0,2,1748.50 ,0.00 ,0,0,56.85,0.037209302,0,0,0.714285714,0,0.047619048,0,0.013594245,0.011487961,0.399470899,0,0,0.012738854,0.012609208,0,0,0,0.247856968
12,0,0,0,1,0,0,554,809,5.43,0,0,1,681.50 ,0.00 ,0,0,52.59,0.046511628,0,0,0,0.022222222,0,0,0.003752472,0.006237423,0.399470899,0,0,0.006369427,0.004914598,0,0,0,0.14352192
12,0,0,1,0,0,0,590,686,5.43,0,0,0,638.00 ,0.00 ,0,0,67.92,0.046511628,0,0,0.142857143,0,0,0,0.003996315,0.005289088,0.399470899,0,0,0,0.004600901,0,0,0,0.518981141
80,0,4,1,1,0,0,44064,28817,5.43,0,0,1,36440.50 ,0.00 ,1,0,72.04,0.362790698,0,0.571428571,0.142857143,0.022222222,0,0,0.298463789,0.222180245,0.399470899,0,0,0.006369427,0.262788593,0,1,0,0.619887338
17,0,0,3,1,0,0,2262,2281,2.21,0,0,1,2271.50 ,0.00 ,0,0,64.9,0.069767442,0,0,0.428571429,0.022222222,0,0,0.015321466,0.017586603,0.186507937,0,0,0.006369427,0.016380793,0,0,0,0.44501592
87,0,2,1,5,24,0,30047,16499,5.43,78,0,29,23273.00 ,82.67 ,1,1,74.9,0.395348837,0,0.285714286,0.142857143,0.111111111,0.571428571,0,0.203520821,0.127207963,0.399470899,0.040393578,0,0.184713376,0.167831916,0.022931114,1,1,0.689933872
12,0,0,1,0,0,0,1050,1404,5.43,0,0,0,1227.00 ,0.00 ,0,0,60.31,0.046511628,0,0,0.142857143,0,0,0,0.007112086,0.010824897,0.399470899,0,0,0,0.008848441,0,0,0,0.332598579
62,1,3,6,17,41,0,20683,14713,5.43,528,2,61,17698.00 ,840.00 ,1,1,77.92,0.279069767,1,0.428571429,0.857142857,0.377777778,0.976190476,0,0.140094557,0.11343783,0.399470899,0.273433454,1,0.388535032,0.12762812,0.233009709,1,1,0.763899094
6,0,5,2,3,8,0,316,394,5.43,73,1,11,355.00 ,25.00 ,1,1,74.81,0.018604651,0,0.714285714,0.285714286,0.066666667,0.19047619,0,0.002140399,0.003037756,0.399470899,0.037804247,0.5,0.070063694,0.002560062,0.006934813,1,1,0.687729611
5,0,0,1,0,0,0,760,555,5.43,0,0,0,657.50 ,0.00 ,0,0,61.01,0.013953488,0,0,0.142857143,0,0,0,0.005147796,0.004279073,0.399470899,0,0,0,0.004741524,0,0,0,0.349742836
9,0,0,2,0,3,0,1171,531,7.92,3,1,3,851.00 ,14.33 ,0,1,57.58,0.03255814,0,0,0.285714286,0,0.071428571,0,0.00793167,0.004094032,0.564153439,0.001553599,0.5,0.01910828,0.006136938,0.003975959,0,1,0.265735978
12,0,0,0,0,3,0,4709,4985,6.29,0,0,5,4847.00 ,0.00 ,0,0,52.16,0.046511628,0,0,0,0,0.071428571,0,0.031896015,0.038434553,0.456349206,0,0,0.031847134,0.034953865,0,0,0,0.132990448
79,1,5,2,3,6,0,12843,11721,6.29,249,2,9,12282.00 ,83.00 ,1,1,66.34,0.358139535,1,0.714285714,0.285714286,0.066666667,0.142857143,0,0.086990978,0.090369388,0.456349206,0.128948731,1,0.057324841,0.088570944,0.023023578,1,1,0.480284105
4,0,2,0,1,1,0,5954,4234,6.29,11,0,2,5094.00 ,64.67 ,0,1,58.56,0.009302326,0,0.285714286,0,0.022222222,0.023809524,0,0.040328917,0.032644313,0.456349206,0.00569653,0,0.012738854,0.036735091,0.017938049,0,1,0.289737938
40,1,3,3,2,2,0,5764,4687,6.29,0,1,5,5225.50 ,138.67 ,0,1,65.26,0.176744186,1,0.428571429,0.428571429,0.044444444,0.047619048,0,0.039041968,0.036136961,0.456349206,0,0.5,0.031847134,0.037683396,0.038465095,0,1,0.453832966
4,0,0,1,1,1,0,2652,1873,6.29,0,1,2,2262.50 ,0.00 ,1,0,63.08,0.009302326,0,0,0.142857143,0.022222222,0.023809524,0,0.017963098,0.014440906,0.456349206,0,0.5,0.012738854,0.01631589,0,1,0,0.400440852
7,0,0,0,1,0,0,1175,1159,2.56,0,0,1,1167.00 ,1.00 ,0,1,55.08,0.023255814,0,0,0,0.022222222,0,0,0.007958763,0.008935937,0.209656085,0,0,0.006369427,0.008415754,0.000277393,0,1,0.20450649
4,0,0,0,3,0,0,1005,2840,5.95,0,0,3,1922.50 ,0.00 ,0,0,63.05,0.009302326,0,0,0,0.066666667,0,0,0.006807283,0.021896516,0.433862434,0,0,0.01910828,0.013863999,0,0,0,0.399706098
5,0,0,0,0,0,0,670,1427,5.95,0,0,0,1048.50 ,0.00 ,0,0,57.68,0.013953488,0,0,0,0,0,0,0.004538189,0.011002228,0.433862434,0,0,0,0.007561198,0,0,0,0.268185158
10,0,0,0,0,0,0,24917,2552,2.56,7,0,0,13734.50 ,2.33 ,0,1,61.35,0.037209302,0,0,0,0,0,0,0.168773199,0.019676024,0.209656085,0.003625065,0,0,0.099045566,0.000647249,0,1,0.358070047
28,0,0,0,0,0,0,5311,6355,3.64,0,0,0,5833.00 ,0.00 ,0,0,62.17,0.120930233,0,0,0,0,0,0,0.035973611,0.048997309,0.281084656,0,0,0,0.042064348,0,0,0,0.378153319
9,0,3,1,0,0,0,1340,1026,2.83,0,1,0,1183.00 ,0.00 ,1,0,51.26,0.03255814,0,0.428571429,0.142857143,0,0,0,0.009076377,0.007910502,0.227513228,0,0.5,0,0.008531137,0,1,0,0.110947832
15,0,0,0,0,0,0,1224,943,2.83,0,0,0,1083.50 ,0.00 ,0,0,56.26,0.060465116,0,0,0,0,0,0,0.008290661,0.007270568,0.227513228,0,0,0,0.007813599,0,0,0,0.233406809
31,0,5,1,3,3,0,14601,10445,5.27,0,1,157,12523.00 ,151.67 ,1,1,73.04,0.134883721,0,0.714285714,0.142857143,0.066666667,0.071428571,0,0.098898643,0.080531376,0.388888889,0,0.5,1,0.090308902,0.042071197,1,1,0.644379133
7,0,0,0,0,0,0,3292,0,2.83,0,0,0,1646.00 ,0.00 ,0,0,54.84,0.023255814,0,0,0,0,0,0,0.022298084,0,0.227513228,0,0,0,0.011870035,0,0,0,0.198628459
35,1,2,2,2,4,0,12538,10131,2.83,0,2,6,11334.50 ,105.67 ,1,1,72.48,0.153488372,1,0.285714286,0.285714286,0.044444444,0.095238095,0,0.084925086,0.078110423,0.227513228,0,1,0.038216561,0.081738102,0.029311142,1,1,0.630663728
