T_01,T_07,T_09,T_10,T_11,T_32,T_35,T_37,T_39,T_43,T_46,T_47,T_50,T_53,T_55,T_65,T_66,T_67,T_68,T_69,T_71,T_78,T_80,T_81,T_82,T_83,T_88,T_99,T_106,T_110,T_SC
3.96,0.6 ,0.52,1.38,1.61,17,0,0,15,0,1,1,3,4,0,0,5,20,0,0.6,0,0,0,0,7,5114.00 ,313.00 ,8.33 ,0,1,62.02
5.28,0.4 ,0.78,1.38,1.15,6,0,0,26,0,1,3,2,0,0,0,7,7,0,0.6,0,0,0,0,2,1056.50 ,118.00 ,4.67 ,0,1,65.66
5.28,0.6 ,1.56,0.92,0.92,13,0,0,30,0,4,0,1,1,0,0,0,0,0,0.2,0,0,0,0,2,2927.50 ,20.33 ,0.00 ,0,0,64.5
3.3,1.2 ,1.82,0.69,0.23,16,1,0,11,1,5,3,0,0,0,215,0,0,0,0.6,2.49,3,1,1,0,8456.00 ,1165.00 ,71.67 ,1,1,66.35
4.62,0.4 ,0.52,0.69,0.23,6,0,0,23,0,1,2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,5810.00 ,278.33 ,0.00 ,0,0,54.82
5.94,1.6 ,2.6,1.84,2.3,73,0,0,32,3,15,2,6,15,0,0,125,41,0,0.26,0,5,0,1,21,10601.50 ,388.67 ,55.33 ,1,1,82.24
5.28,1.0 ,1.04,0.92,0.92,11,1,0,29,4,2,0,1,0,0,0,0,0,0,0.2,0,0,1,1,1,5013.50 ,123.67 ,0.00 ,0,0,68.6
3.3,1.0 ,0.78,0.23,0.23,10,0,0,14,1,1,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,2334.50 ,45.67 ,0.00 ,0,0,56.67
3.96,0.4 ,0.78,0.69,0.23,9,0,0,17,0,1,5,0,0,0,9,5,20,0,0.6,0.49,0,0,1,0,1517.00 ,-5.00 ,11.33 ,0,1,59.88
6.6,0.6 ,1.3,1.15,0.23,16,0,0,40,0,3,1,0,0,0,9,18,7,0.2,0.2,0.16,0,0,1,0,5264.50 ,223.67 ,11.33 ,0,1,65.36
3.96,1.2 ,2.6,1.84,2.3,139,1,0,16,2,8,3,45,42,0,549,540,0,0,0.6,0.79,4,1,1,97,72922.50 ,2904.67 ,363.00 ,1,1,77.63
5.94,1.0 ,1.56,1.15,0.92,53,0,1,36,1,5,1,1,2,0,41,39,0,0,0.6,0.54,0,1,1,3,6592.50 ,-79.00 ,26.67 ,0,1,71.29
1.98,0.4 ,0.52,1.15,0.46,10,0,1,6,0,1,2,0,1,0,0,0,0,0,0.2,0,0,1,1,1,14258.50 ,174.33 ,0.00 ,0,0,63.51
3.3,1.0 ,0.52,1.15,0.46,14,1,0,12,3,1,4,0,2,0,42,41,33,0,0.6,1.22,0,1,1,2,3513.00 ,162.67 ,38.67 ,0,1,60.58
3.3,1.0 ,0.78,1.15,0.69,5,0,0,11,4,2,4,0,2,0,0,13,4,0.2,0.2,0,0,0,0,6,666.00 ,7.67 ,5.67 ,0,1,67.08
3.3,0.4 ,0.78,0.92,0.23,20,0,0,11,0,2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,20759.00 ,601.33 ,0.00 ,0,0,57.85
1.98,0.4 ,0.52,1.61,0.23,6,0,0,5,0,1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,2893.50 ,143.00 ,0.00 ,0,0,56.05
2.64,0.4 ,0.78,0.69,0.23,8,0,0,9,0,1,1,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,7844.50 ,202.33 ,0.00 ,0,0,56.11
1.98,1.0 ,2.08,1.61,1.15,11,0,0,5,3,5,1,2,1,0,16,44,0,0.2,0.2,0.73,0,0,1,3,2209.00 ,124.33 ,20.00 ,0,1,63.17
5.94,1.4 ,1.3,1.61,1.84,10,1,0,31,3,5,3,6,0,0,164,107,0,0.6,0.64,2.15,5,1,1,6,7645.50 ,382.00 ,90.33 ,1,1,73.55
3.96,0.4 ,0.52,0.46,0.23,4,0,0,17,0,1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,4572.00 ,182.00 ,0.00 ,0,0,62.9
1.98,0.6 ,0.78,1.15,0.23,4,0,0,6,0,2,1,0,0,0,2,2,0,0.6,0.64,0.04,0,0,1,0,4755.00 ,300.33 ,1.33 ,0,1,53.81
