T_07,T_32,T_39,T_43,T_46,T_47,T_50,T_56,T_79,T_80,T_81,T_82,T_83,T_101,T_111,T_115,T_SC
0.6 ,17,15,0,1,1,3,5062,9,0,0,7,5114.00 ,2.50 ,0,1,62.02
0.4 ,6,26,0,1,3,2,1277,7,0,0,2,1056.50 ,3.50 ,0,1,65.66
0.6 ,13,30,0,4,0,1,3006,5,0,0,2,2927.50 ,0.00 ,0,0,64.5
1.2 ,16,11,1,5,3,0,8650,5,1,1,0,8456.00 ,107.50 ,1,1,66.35
0.4 ,6,23,0,1,2,0,6095,8,0,0,0,5810.00 ,0.00 ,0,0,54.82
1.6 ,73,32,3,15,2,6,9674,8,0,1,21,10601.50 ,62.50 ,1,1,82.24
1.0 ,11,29,4,2,0,1,5014,8,1,1,1,5013.50 ,0.00 ,0,0,68.6
1.0 ,10,14,1,1,0,0,2375,9,0,0,0,2334.50 ,0.00 ,0,0,56.67
0.4 ,9,17,0,1,5,0,1831,8,0,1,0,1517.00 ,7.00 ,0,1,59.88
0.6 ,16,40,0,3,1,0,5651,6,0,1,0,5264.50 ,13.50 ,0,1,65.36
1.2 ,139,16,2,8,3,45,69077,4,1,1,97,72922.50 ,544.50 ,1,1,77.63
1.0 ,53,36,1,5,1,1,7657,9,1,1,3,6592.50 ,40.00 ,0,1,71.29
0.4 ,10,6,0,1,2,0,14492,9,1,1,1,14258.50 ,0.00 ,0,0,63.51
1.0 ,14,12,3,1,4,0,3439,8,1,1,2,3513.00 ,41.50 ,0,1,60.58
1.0 ,5,11,4,2,4,0,206,8,0,0,6,666.00 ,6.50 ,0,1,67.08
0.4 ,20,11,0,2,0,0,19731,9,0,0,0,20759.00 ,0.00 ,0,0,57.85
0.4 ,6,5,0,1,0,0,3167,8,0,0,0,2893.50 ,0.00 ,0,0,56.05
0.4 ,8,9,0,1,1,0,10097,7,0,0,0,7844.50 ,0.00 ,0,0,56.11
1.0 ,11,5,3,5,1,2,2185,7,0,1,3,2209.00 ,30.00 ,0,1,63.17
1.4 ,10,31,3,5,3,6,7644,7,1,1,6,7645.50 ,135.50 ,1,1,73.55
0.4 ,4,17,0,1,0,0,4643,8,0,0,0,4572.00 ,0.00 ,0,0,62.9
0.6 ,4,6,0,2,1,0,5088,9,0,1,0,4755.00 ,2.00 ,0,1,53.81
0.6 ,9,18,0,3,2,0,1096,6,0,0,1,1405.50 ,0.00 ,0,0,60.11
1.0 ,25,19,0,2,4,1,1673,7,1,1,2,1233.50 ,0.00 ,0,0,60.6
1.0 ,22,17,4,3,1,0,4928,8,0,1,0,5106.50 ,185.50 ,0,1,68.2
0.4 ,14,4,0,1,0,0,6555,7,0,0,0,6098.50 ,0.00 ,0,0,54.66
0.6 ,10,6,0,3,5,0,2007,8,0,0,2,1748.50 ,0.00 ,0,0,56.85
0.4 ,12,14,0,1,0,1,554,7,0,0,1,681.50 ,0.00 ,0,0,52.59
0.4 ,12,34,0,2,1,0,590,9,0,0,0,638.00 ,0.00 ,0,0,67.92
1.8 ,80,31,4,5,1,1,44064,9,0,1,1,36440.50 ,0.00 ,1,0,72.04
0.8 ,17,24,0,2,3,1,2262,8,0,0,1,2271.50 ,0.00 ,0,0,64.9
1.2 ,87,23,2,7,1,5,30047,9,0,1,29,23273.00 ,85.00 ,1,1,74.9
0.4 ,12,13,0,1,1,0,1050,9,0,0,0,1227.00 ,0.00 ,0,0,60.31
1.4 ,62,22,3,18,6,17,20683,8,1,1,61,17698.00 ,996.00 ,1,1,77.92
1.8 ,6,17,5,2,2,3,316,9,1,1,11,355.00 ,1.00 ,1,1,74.81
0.6 ,5,17,0,4,1,0,760,7,0,0,0,657.50 ,0.00 ,0,0,61.01
0.6 ,9,7,0,4,2,0,1171,7,1,1,3,851.00 ,20.00 ,0,1,57.58
0.6 ,12,5,0,4,0,0,4709,7,0,0,5,4847.00 ,0.00 ,0,0,52.16
1.8 ,79,34,5,6,2,3,12843,8,1,1,9,12282.00 ,0.00 ,1,1,66.34
